Time, ID, Lat, Lon, Alt, #WiFi networks, SSID1, MAC1, Frequncy1, Signal1, SSID2, MAC2, Frequncy2, Signal2, SSID3, MAC3, Frequncy3, Signal3, SSID4, MAC4, Frequncy4, Signal4, SSID5, MAC5, Frequncy5, Signal5, SSID6, MAC6, Frequncy6, Signal6, SSID7, MAC7, Frequncy7, Signal7, SSID8, MAC8, Frequncy8, Signal8, SSID9, MAC9, Frequncy9, Signal9, SSID10, MAC10, Frequncy10, Signal10, 
2017-11-02 08:42:38,model=LG-D855,32.10291601,35.19851196,670,1,,00:02:6f:8e:64:67,1,-86,
2017-11-02 08:42:44,model=LG-D855,32.10292309,35.19847713,688,1,PasNET 5G,f8:e9:03:0e:9a:d4,60,-89,
2017-11-02 08:42:48,model=LG-D855,32.10293911,35.19861672,648,7,dana,04:a1:51:c4:5d:50,1,-72,PASNET 2.4G,f8:e9:03:0e:9a:d3,9,-74,PasNET 5G,f8:e9:03:0e:9a:d4,60,-83,DIRECT-2OEVGENIAmsWQ,22:16:d8:b9:f9:9a,6,-74,No Free WiFi For You_5,c4:12:f5:84:74:ea,48,-84,hanid_2.4_5,3c:1e:04:09:2e:bd,48,-88,MyNet_BB_5,e8:fc:af:9d:c5:87,60,-88,
2017-11-02 08:42:50,model=LG-D855,32.10309342,35.19875206,640,9,dana,04:a1:51:c4:5d:50,1,-66,BUFU,60:e3:27:a7:6f:3a,2,-71,Oshritel7,e4:6f:13:72:42:9a,11,-74,BezeqFree,6a:12:f5:84:6d:10,3,-77,No Free WiFi For You,c4:12:f5:84:74:eb,5,-77,Ira1,c4:12:f5:84:6d:13,3,-79,Nezeq_benleumi,20:4e:7f:23:f5:13,11,-79,AEH-W4A1-b0411d259543,b0:41:1d:25:95:43,5,-85,Bezeq Free,62:12:f5:84:74:e8,5,-76,
2017-11-02 08:42:52,model=LG-D855,32.10329534,35.19879883,641,5,Dana_2.4,10:5a:f7:0f:10:a1,1,-63,Aliza,7c:b7:33:2b:fa:df,1,-77,nnw2,c8:be:19:09:66:11,9,-82,vera215,48:ee:0c:3d:46:cd,9,-85,BorisMil,74:44:01:53:a8:16,11,-82,
2017-11-02 08:42:54,model=LG-D855,32.10350341,35.1988286,635,10,nnw,f0:b4:29:d8:9b:6a,4,-73,vera215,48:ee:0c:3d:46:cd,9,-78,TP-LINK_133A,30:b5:c2:6d:13:3a,6,-76,BezeqFree,62:ee:0c:3d:46:ce,9,-77,BezeqFree,06:ae:db:c0:ed:05,6,-78,nnw,f0:b4:29:d8:9b:6b,36,-85,HOTBOX-C580,c0:ac:54:f6:1c:5c,11,-81,sandra,14:ae:db:c0:ed:05,6,-81,why-fi,10:be:f5:3a:61:7a,1,-82,galruach,d0:0f:6d:c2:18:9b,7,-82,
2017-11-02 08:42:56,model=LG-D855,32.10371076,35.19879422,633,9,yaniv,80:26:89:1a:93:a1,3,-79,Hanasti,f8:e9:03:0e:33:0b,1,-81,yana2,4c:60:de:48:8d:d1,11,-79,Mana,a4:2b:8c:98:86:7a,11,-76,HOTBOX-7569,d4:7b:b0:79:75:6f,11,-79,solomon,14:ae:db:c7:fb:f5,6,-79,Valery,14:ae:db:42:14:55,6,-79,DworNet,14:ae:db:ca:ae:c2,2,-80,Bezeq Free CA167D,72:2b:8c:98:86:7b,11,-78,
2017-11-02 08:42:58,model=LG-D855,32.10391144,35.19864281,633,10,HOTBOX-9F4A,08:6a:0a:22:9f:50,6,-83,Oleg,cc:b2:55:e9:61:3f,6,-78,yaroshevsky_2.4,14:ae:db:3e:b1:f2,10,-77,BEZEQINT-BD11,14:ae:db:55:bd:15,11,-79,kadmon,a0:ab:1b:63:0d:9c,2,-72,sinkel1,20:0c:c8:1a:d2:ca,11,-76,Bezeq Free A0005F,62:0c:c8:1a:d2:cb,11,-76,BezeqFree,06:ae:db:3a:e7:9d,11,-81,Marfino,14:ae:db:3a:e7:9d,11,-83,DIRECT-A6-HP OfficeJet Pro 6960,98:e7:f4:b5:61:a7,11,-85,
2017-11-02 08:43:00,model=LG-D855,32.104072,35.19848482,633,9,hanid_2.4,3c:1e:04:09:2e:bc,6,-77,MyNet_BB_2.4,e8:fc:af:9d:c5:86,1,-75,PASNET 2.4G,f8:e9:03:0e:9a:d3,9,-78,PasNET 5G,f8:e9:03:0e:9a:d4,60,-87,MyNet_BB_5,e8:fc:af:9d:c5:87,60,-84,shlomit,14:ae:db:ce:5f:fd,6,-71,Valery,14:ae:db:42:14:55,6,-72,Lia,f4:f2:6d:6d:7e:f9,11,-81,,00:02:6f:8e:64:67,1,-84,
2017-11-02 08:43:02,model=LG-D855,32.10419941,35.19829181,636,10,Oshritel7,e4:6f:13:72:42:9a,11,-79,Nezeq_benleumi,20:4e:7f:23:f5:13,11,-81,HP-Print-B4-Officejet 6700,fc:15:b4:63:92:b4,6,-73,Oleg,14:ae:db:cb:b6:45,11,-75,virus,b0:48:7a:a1:35:b6,1,-78,gertners,14:d6:4d:f4:52:b3,6,-82,MIS,d0:0f:6d:f0:dc:fb,9,-82,Bella_2.4,04:a1:51:df:7f:c1,1,-83,P4-79215UF_UF,88:28:b3:8a:21:5f,9,-83,Ovadiadavid,d0:d4:12:67:2d:ca,11,-83,
