WigleWifi-1.4,appRelease=2.25,model=LG-D855,release=6.0,device=g3,display=MRA58K,board=MSM8974,brand=lge
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
a0:63:91:89:94:66,ami-70_EXT,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-02 07:43:09,1,-85,32.17483619,34.90056869,141,48,WIFI
00:78:9e:f9:f1:7a,HOTBOX-2A3C,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-02 07:43:09,6,-81,32.17483619,34.90056869,141,48,WIFI
a0:ab:1b:58:72:56,natalia,[WPA2-PSK-CCMP][ESS],2017-11-02 07:43:09,4,-84,32.17483619,34.90056869,141,48,WIFI
48:ee:0c:3f:5d:99,vaad_bezeq,[WPA2-PSK-CCMP][ESS],2017-11-02 07:43:09,3,-82,32.17483619,34.90056869,141,48,WIFI
74:da:38:98:2a:a3,ARADHOME_2EX,[WPA2-PSK-CCMP][WPS][ESS],2017-11-02 07:43:09,1,-78,32.17483619,34.90056869,141,48,WIFI
74:da:38:98:2a:b0,EdimaxAPb0,[WPA2-PSK-CCMP][WPS][ESS],2017-11-02 07:43:09,4,-76,32.17483619,34.90056869,141,48,WIFI
14:ae:db:ce:10:ca,rundsein,[WPA2-PSK-CCMP][ESS],2017-11-02 07:43:09,2,-85,32.17483619,34.90056869,141,48,WIFI
e8:fc:af:97:dd:31,Mester,[WPA2-PSK-CCMP][WPS][ESS],2017-11-02 07:43:09,6,-84,32.17483619,34.90056869,141,48,WIFI
a0:4f:d4:3f:82:f1,Kopps1,[WPA2-PSK-CCMP][ESS],2017-11-02 07:43:09,1,-86,32.17483619,34.90056869,141,48,WIFI
6c:2e:85:fe:aa:9d,ARADHOME,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-02 07:43:09,1,-80,32.17483619,34.90056869,141,48,WIFI
c0:ac:54:f5:a1:27,HOTBOX-6FDE,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-02 07:43:09,1,-86,32.17483619,34.90056869,141,48,WIFI
c4:12:f5:fc:60:52,Alt 64,[WPA2-PSK-CCMP][ESS],2017-11-02 07:43:09,6,-87,32.17483619,34.90056869,141,48,WIFI
14:ae:db:cf:ad:15,Tal5,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-02 07:43:09,6,-86,32.17483619,34.90056869,141,48,WIFI
ec:08:6b:67:f7:ec,Noe_y_Lidia_2,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-02 07:43:09,9,-78,32.17483619,34.90056869,141,48,WIFI
06:ae:db:57:fe:3d,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-11-02 07:43:09,11,-89,32.17483619,34.90056869,141,48,WIFI
c0:ac:54:f8:02:f6,HOTBOX2016,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-02 07:43:09,9,-86,32.17483619,34.90056869,141,48,WIFI
04:a1:51:c9:29:69,Noe_y_Lidia_2,[WPA2-PSK-CCMP][WPS][ESS],2017-11-02 07:43:09,9,-80,32.17483619,34.90056869,141,48,WIFI
14:ae:db:57:fe:3d,Rafi,[WPA2-PSK-CCMP][ESS],2017-11-02 07:43:09,11,-82,32.17483619,34.90056869,141,48,WIFI
04:a1:51:c8:a1:5f,Thirteen,[WPA2-PSK-CCMP][WPS][ESS],2017-11-02 07:43:09,11,-76,32.17483619,34.90056869,141,48,WIFI
d0:d4:12:65:7e:82,Batia-013,[WPA2-PSK-CCMP][ESS],2017-11-02 07:43:09,1,-83,32.17483619,34.90056869,141,48,WIFI
a0:ab:1b:63:27:3c,Kellnaor,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-02 07:43:09,2,-83,32.17483619,34.90056869,141,48,WIFI
16:0c:c3:ee:9e:b9,grimberg,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-02 07:43:09,6,-78,32.17483619,34.90056869,141,48,WIFI
14:ae:db:ca:ba:2d,Level012_5,[WPA2-PSK-CCMP][ESS],2017-11-02 07:43:09,48,-82,32.17483619,34.90056869,141,48,WIFI
00:12:2a:d3:53:ec,Ziv_5GHz,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-02 07:43:09,40,-79,32.17483619,34.90056869,141,48,WIFI
a0:8e:78:7f:3b:69,Hana55,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-02 07:43:09,10,-78,32.17483619,34.90056869,141,48,WIFI
06:ae:db:b0:64:2d,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-11-02 07:43:09,11,-77,32.17483619,34.90056869,141,48,WIFI
00:12:2a:d3:53:e8,Ziv,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-02 07:43:09,13,-82,32.17483619,34.90056869,141,48,WIFI
70:5a:0f:67:54:0f,HP-Print-0F-Officejet Pro 6830,[WPA2-PSK-CCMP][ESS],2017-11-02 07:43:09,11,-85,32.17483619,34.90056869,141,48,WIFI
7c:03:4c:ba:cc:75,GAL2012,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-02 07:43:09,13,-86,32.17483619,34.90056869,141,48,WIFI
10:be:f5:3e:8b:ba,Eilon_Family,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-02 07:43:09,9,-85,32.17483619,34.90056869,141,48,WIFI
e8:cc:18:ed:08:41,gofman,[WPA2-PSK-CCMP+TKIP][ESS],2017-11-02 07:43:09,6,-86,32.17483619,34.90056869,141,48,WIFI
ec:b1:d7:d3:49:8b,HP-Print-8B-Officejet Pro 6830,[WPA2-PSK-CCMP][ESS],2017-11-02 07:43:09,10,-72,32.17483619,34.90056869,141,48,WIFI
04:a1:51:c9:29:6a,Noe5,[WPA2-PSK-CCMP][WPS][ESS],2017-11-02 07:43:09,60,-91,32.17483619,34.90056869,141,48,WIFI
7c:b7:33:2d:48:4d,Hana55,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-02 07:43:09,10,-71,32.17483619,34.90056869,141,48,WIFI
14:cc:20:64:ea:01,Ziv,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-02 07:43:09,13,-86,32.17483619,34.90056869,141,48,WIFI
14:ae:db:ca:ba:2a,Level012_2.4,[WPA2-PSK-CCMP][ESS],2017-11-02 07:43:09,7,-83,32.17483619,34.90056869,141,48,WIFI
14:ae:db:b0:64:2d,RutFr,[WPA2-PSK-CCMP][ESS],2017-11-02 07:43:09,11,-89,32.17483619,34.90056869,141,48,WIFI
16:0c:c3:ee:9e:b8,hero,[WEP][ESS],2017-11-02 07:43:09,6,-79,32.17483619,34.90056869,141,48,WIFI
72:a1:51:c8:a1:5c,Bezeq Free H0281C,[ESS],2017-11-02 07:43:09,11,-75,32.17483619,34.90056869,141,48,WIFI
00:78:9e:fa:6f:52,HOTBOX-A798,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-02 07:43:09,1,-78,32.17483619,34.90056869,141,48,WIFI
00:12:2a:40:0b:ca,Mira_,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-02 07:43:09,5,-83,32.17483619,34.90056869,141,48,WIFI
00:8c:54:8c:4a:f1,ADLER,[WPA2-PSK-CCMP][ESS],2017-11-02 07:43:09,1,-84,32.17483619,34.90056869,141,48,WIFI
