MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type,ID
00:02:6f:8e:64:67,,[ESS],2017-11-02 08:42:38,1.0,-86.0,32.10291601,35.19851196,670.0,18.0,WIFI,model=LG-D855
f8:e9:03:0e:9a:d4,PasNET 5G,[WPA2-PSK-CCMP][ESS],2017-11-02 08:42:44,60.0,-89.0,32.10292309,35.19847713,688.0,12.0,WIFI,model=LG-D855
04:a1:51:c4:5d:50,dana,[WEP][ESS],2017-11-02 08:42:48,1.0,-72.0,32.10293911,35.19861672,648.0,8.0,WIFI,model=LG-D855
f8:e9:03:0e:9a:d3,PASNET 2.4G,[WPA2-PSK-CCMP][ESS],2017-11-02 08:42:48,9.0,-74.0,32.10293911,35.19861672,648.0,8.0,WIFI,model=LG-D855
f8:e9:03:0e:9a:d4,PasNET 5G,[WPA2-PSK-CCMP][ESS],2017-11-02 08:42:48,60.0,-83.0,32.10293911,35.19861672,648.0,8.0,WIFI,model=LG-D855
22:16:d8:b9:f9:9a,DIRECT-2OEVGENIAmsWQ,[WPA2-PSK-CCMP][WPS][ESS],2017-11-02 08:42:48,6.0,-74.0,32.10293911,35.19861672,648.0,8.0,WIFI,model=LG-D855
c4:12:f5:84:74:ea,No Free WiFi For You_5,[WPA2-PSK-CCMP][ESS],2017-11-02 08:42:48,48.0,-84.0,32.10293911,35.19861672,648.0,8.0,WIFI,model=LG-D855
3c:1e:04:09:2e:bd,hanid_2.4_5,[WPA2-PSK-CCMP][ESS],2017-11-02 08:42:48,48.0,-88.0,32.10293911,35.19861672,648.0,8.0,WIFI,model=LG-D855
e8:fc:af:9d:c5:87,MyNet_BB_5,[WPA2-PSK-CCMP][WPS][ESS],2017-11-02 08:42:48,60.0,-88.0,32.10293911,35.19861672,648.0,8.0,WIFI,model=LG-D855
04:a1:51:c4:5d:50,dana,[WEP][ESS],2017-11-02 08:42:50,1.0,-66.0,32.10309342,35.19875206,640.0,7.0,WIFI,model=LG-D855
60:e3:27:a7:6f:3a,BUFU,[WPA2-PSK-CCMP][WPS][ESS],2017-11-02 08:42:50,2.0,-71.0,32.10309342,35.19875206,640.0,7.0,WIFI,model=LG-D855
e4:6f:13:72:42:9a,Oshritel7,[WPA2-PSK-CCMP][ESS],2017-11-02 08:42:50,11.0,-74.0,32.10309342,35.19875206,640.0,7.0,WIFI,model=LG-D855
6a:12:f5:84:6d:10,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-11-02 08:42:50,3.0,-77.0,32.10309342,35.19875206,640.0,7.0,WIFI,model=LG-D855
c4:12:f5:84:74:eb,No Free WiFi For You,[WPA2-PSK-CCMP][ESS],2017-11-02 08:42:50,5.0,-77.0,32.10309342,35.19875206,640.0,7.0,WIFI,model=LG-D855
c4:12:f5:84:6d:13,Ira1,[WPA2-PSK-CCMP][ESS],2017-11-02 08:42:50,3.0,-79.0,32.10309342,35.19875206,640.0,7.0,WIFI,model=LG-D855
20:4e:7f:23:f5:13,Nezeq_benleumi,[WPA2-PSK-CCMP][WPS][ESS],2017-11-02 08:42:50,11.0,-79.0,32.10309342,35.19875206,640.0,7.0,WIFI,model=LG-D855
10:5a:f7:0f:10:a2,Dana_5,[WPA2-PSK-CCMP][ESS],2017-11-02 08:42:50,52.0,-88.0,32.10309342,35.19875206,640.0,7.0,WIFI,model=LG-D855
b0:41:1d:25:95:43,AEH-W4A1-b0411d259543,[WPA2-PSK-CCMP][ESS],2017-11-02 08:42:50,5.0,-85.0,32.10309342,35.19875206,640.0,7.0,WIFI,model=LG-D855
62:12:f5:84:74:e8,Bezeq Free,[ESS],2017-11-02 08:42:50,5.0,-76.0,32.10309342,35.19875206,640.0,7.0,WIFI,model=LG-D855
42502_811_3868449,GOLAN T,UNKNOWN;il,2017-11-02 08:42:50,0.0,-113.0,32.10309342,35.19875206,640.0,7.0,GSM,model=LG-D855
10:5a:f7:0f:10:a1,Dana_2.4,[WPA2-PSK-CCMP][ESS],2017-11-02 08:42:52,1.0,-63.0,32.10329534,35.19879883,641.0,5.0,WIFI,model=LG-D855
7c:b7:33:2b:fa:df,Aliza,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-02 08:42:52,1.0,-77.0,32.10329534,35.19879883,641.0,5.0,WIFI,model=LG-D855
c8:be:19:09:66:11,nnw2,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-02 08:42:52,9.0,-82.0,32.10329534,35.19879883,641.0,5.0,WIFI,model=LG-D855
48:ee:0c:3d:46:cd,vera215,[WPA2-PSK-CCMP][ESS],2017-11-02 08:42:52,9.0,-85.0,32.10329534,35.19879883,641.0,5.0,WIFI,model=LG-D855
74:44:01:53:a8:16,BorisMil,[WPS][WEP][ESS],2017-11-02 08:42:52,11.0,-82.0,32.10329534,35.19879883,641.0,5.0,WIFI,model=LG-D855
f0:b4:29:d8:9b:6a,nnw,[WPA2-PSK-CCMP][ESS],2017-11-02 08:42:54,4.0,-73.0,32.10350341,35.1988286,635.0,6.0,WIFI,model=LG-D855
48:ee:0c:3d:46:cd,vera215,[WPA2-PSK-CCMP][ESS],2017-11-02 08:42:54,9.0,-78.0,32.10350341,35.1988286,635.0,6.0,WIFI,model=LG-D855
30:b5:c2:6d:13:3a,TP-LINK_133A,[WPA2-PSK-CCMP][WPS][ESS],2017-11-02 08:42:54,6.0,-76.0,32.10350341,35.1988286,635.0,6.0,WIFI,model=LG-D855
62:ee:0c:3d:46:ce,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-11-02 08:42:54,9.0,-77.0,32.10350341,35.1988286,635.0,6.0,WIFI,model=LG-D855
06:ae:db:c0:ed:05,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-11-02 08:42:54,6.0,-78.0,32.10350341,35.1988286,635.0,6.0,WIFI,model=LG-D855
f0:b4:29:d8:9b:6b,nnw,[WPA2-PSK-CCMP][ESS],2017-11-02 08:42:54,36.0,-85.0,32.10350341,35.1988286,635.0,6.0,WIFI,model=LG-D855
c0:ac:54:f6:1c:5c,HOTBOX-C580,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-02 08:42:54,11.0,-81.0,32.10350341,35.1988286,635.0,6.0,WIFI,model=LG-D855
14:ae:db:c0:ed:05,sandra,[WPA2-PSK-CCMP][ESS],2017-11-02 08:42:54,6.0,-81.0,32.10350341,35.1988286,635.0,6.0,WIFI,model=LG-D855
10:be:f5:3a:61:7a,why-fi,[WPA2-PSK-CCMP][ESS],2017-11-02 08:42:54,1.0,-82.0,32.10350341,35.1988286,635.0,6.0,WIFI,model=LG-D855
d0:0f:6d:c2:18:9b,galruach,[WPA-PSK-CCMP+TKIP][ESS],2017-11-02 08:42:54,7.0,-82.0,32.10350341,35.1988286,635.0,6.0,WIFI,model=LG-D855
80:26:89:1a:93:a1,yaniv,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],2017-11-02 08:42:56,3.0,-79.0,32.10371076,35.19879422,633.0,7.0,WIFI,model=LG-D855
f8:e9:03:0e:33:0b,Hanasti,[WPA2-PSK-CCMP][ESS],2017-11-02 08:42:56,1.0,-81.0,32.10371076,35.19879422,633.0,7.0,WIFI,model=LG-D855
4c:60:de:48:8d:d1,yana2,[WPA2-PSK-CCMP][WPS][ESS],2017-11-02 08:42:56,11.0,-79.0,32.10371076,35.19879422,633.0,7.0,WIFI,model=LG-D855
a4:2b:8c:98:86:7a,Mana,[WPA2-PSK-CCMP][WPS][ESS],2017-11-02 08:42:56,11.0,-76.0,32.10371076,35.19879422,633.0,7.0,WIFI,model=LG-D855
d4:7b:b0:79:75:6f,HOTBOX-7569,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-02 08:42:56,11.0,-79.0,32.10371076,35.19879422,633.0,7.0,WIFI,model=LG-D855
