SSID, MAC, MyLat, MyLon, MyAlt, TestLat, TestLon, TestAlt
AUC_54_R,00:25:86:cc:00:f8,32.10396303909033,35.20844384100144,691.9214773377328,32.10365113349193,35.20818644933492,693.5284770660688
tanya,14:ae:db:3a:64:05,32.102528187003614,35.20734570155965,700.1622738859833,32.102528187003614,35.20734570155965,700.1622738859833
Sveta,d0:0f:6d:f1:35:2f,32.10251814263996,35.20734901460898,698.9056862429085,32.10251814263996,35.20734901460898,698.9056862429085
LARISA,10:be:f5:39:8f:f2,32.10251814263996,35.20734901460898,698.9056862429085,32.10251814263996,35.20734901460898,698.9056862429085
netbox-550b,00:12:2a:39:2c:3c,32.10251814263996,35.20734901460898,698.9056862429085,32.10251814263996,35.20734901460898,698.9056862429085
BEZEQINT-8831,14:ae:db:43:88:35,32.10251581558651,35.207339181669674,697.993173771496,32.10251581558651,35.207339181669674,697.993173771496
Mama,14:ae:db:cb:05:f5,32.102458386443125,35.20743113335047,694.8881937656644,32.102458386443125,35.20743113335047,694.8881937656644
SGH-I337M,ec:9b:f3:26:ab:3a,32.10290232094127,35.20841917773201,698.5520522757089,32.10280900493249,35.208211488627946,697.7819011513628
Hoom_2.4,80:37:73:d7:ab:3a,32.10246378160256,35.207563401001366,694.129943277534,32.10246378160256,35.207563401001366,694.129943277534
__ery,14:ae:db:58:0d:6d,32.10258798763252,35.20759021123835,693.1085203108703,32.10258798763252,35.20759021123835,693.1085203108703
vladimir,00:0e:f4:c1:50:14,32.10263460161589,35.20757686137406,692.0341048029708,32.10263460161589,35.20757686137406,692.0341048029708
HOTFiber-3C40,a4:08:f5:20:72:6a,32.102861507686676,35.2076291986019,691.1036071541976,32.102861507686676,35.2076291986019,691.1036071541976
Biren2809,14:ae:db:cf:86:f5,32.103147609584674,35.20814477182254,691.7941043072863,32.103147609584674,35.20814477182254,691.7941043072863
SGH-I337M,ec:9b:f3:26:ab:3a,32.10290232094127,35.20841917773201,698.5520522757089,32.10280900493249,35.208211488627946,697.7819011513628
richman,a0:4f:d4:46:a9:e1,32.103254567862166,35.20776621667453,690.8153989055744,32.103254567862166,35.20776621667453,690.8153989055744
,ec:8c:a2:88:7a:17,32.10375939005184,35.207824304039484,690.4413487921157,32.10352568079576,35.20884169330544,696.8896064252822
AUC_54_R,00:25:86:cc:00:f8,32.10396303909033,35.20844384100144,691.9214773377328,32.10365113349193,35.20818644933492,693.5284770660688
KCG_54,00:25:86:cc:07:b2,32.10410016147078,35.20842792478725,703.2732684202417,32.10410016147078,35.20842792478725,703.2732684202417
,ec:8c:a2:88:7a:17,32.10375939005184,35.207824304039484,690.4413487921157,32.10352568079576,35.20884169330544,696.8896064252822
dlink,84:c9:b2:4a:e7:87,32.1044140461797,35.20788087493433,689.9496964638441,32.1044140461797,35.20788087493433,689.9496964638441
HP-Print-30-Officejet 7610,d0:bf:9c:db:31:30,32.10463176591113,35.20979574526654,698.6581892313966,32.10465458359187,35.2098436761803,695.9864142676977
ShapeDo,f8:e9:03:12:ef:3b,32.10477209848867,35.20959198198432,689.4143706947036,32.10477209848867,35.20959198198432,689.4143706947036
NIPPON_2516,08:97:58:32:a6:3e,32.10572050842588,35.2097599664662,688.5550300637956,32.10572050842588,35.2097599664662,688.5550300637956
Orange G2_4113,f8:a9:d0:66:06:4d,32.10572050842588,35.2097599664662,688.5550300637956,32.10572050842588,35.2097599664662,688.5550300637956
iagree,b2:6c:ac:9f:fb:1f,32.10459991492392,35.20974170923312,689.246606002002,32.10460470197165,35.20974686570655,695.4591440350571
Afikim-73925,00:1a:dd:f5:e9:25,32.10600248238024,35.21070454267807,688.6935415677234,32.10595770553916,35.21055454606218,688.6715462468687
Afikim-73925,00:1a:dd:f5:e9:25,32.10600248238024,35.21070454267807,688.6935415677234,32.10595770553916,35.21055454606218,688.6715462468687
PEPWAVE_C99D,00:1a:dd:f5:e9:24,32.105460466409745,35.210257453794235,689.4884991272369,32.105460466409745,35.210257453794235,689.4884991272369
