WigleWifi-1.4,appRelease=2.25,model=LG-D855,release=6.0,device=g3,display=MRA58K,board=MSM8974,brand=lge
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
00:02:6f:8e:64:67,,[ESS],2017-11-02 08:42:38,1,-86,32.10291601,35.19851196,670,18,WIFI
f8:e9:03:0e:9a:d4,PasNET 5G,[WPA2-PSK-CCMP][ESS],2017-11-02 08:42:44,60,-89,32.10292309,35.19847713,688,12,WIFI
04:a1:51:c4:5d:50,dana,[WEP][ESS],2017-11-02 08:42:48,1,-72,32.10293911,35.19861672,648,8,WIFI
f8:e9:03:0e:9a:d3,PASNET 2.4G,[WPA2-PSK-CCMP][ESS],2017-11-02 08:42:48,9,-74,32.10293911,35.19861672,648,8,WIFI
f8:e9:03:0e:9a:d4,PasNET 5G,[WPA2-PSK-CCMP][ESS],2017-11-02 08:42:48,60,-83,32.10293911,35.19861672,648,8,WIFI
22:16:d8:b9:f9:9a,DIRECT-2OEVGENIAmsWQ,[WPA2-PSK-CCMP][WPS][ESS],2017-11-02 08:42:48,6,-74,32.10293911,35.19861672,648,8,WIFI
c4:12:f5:84:74:ea,No Free WiFi For You_5,[WPA2-PSK-CCMP][ESS],2017-11-02 08:42:48,48,-84,32.10293911,35.19861672,648,8,WIFI
3c:1e:04:09:2e:bd,hanid_2.4_5,[WPA2-PSK-CCMP][ESS],2017-11-02 08:42:48,48,-88,32.10293911,35.19861672,648,8,WIFI
e8:fc:af:9d:c5:87,MyNet_BB_5,[WPA2-PSK-CCMP][WPS][ESS],2017-11-02 08:42:48,60,-88,32.10293911,35.19861672,648,8,WIFI
04:a1:51:c4:5d:50,dana,[WEP][ESS],2017-11-02 08:42:50,1,-66,32.10309342,35.19875206,640,7,WIFI
60:e3:27:a7:6f:3a,BUFU,[WPA2-PSK-CCMP][WPS][ESS],2017-11-02 08:42:50,2,-71,32.10309342,35.19875206,640,7,WIFI
e4:6f:13:72:42:9a,Oshritel7,[WPA2-PSK-CCMP][ESS],2017-11-02 08:42:50,11,-74,32.10309342,35.19875206,640,7,WIFI
6a:12:f5:84:6d:10,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-11-02 08:42:50,3,-77,32.10309342,35.19875206,640,7,WIFI
c4:12:f5:84:74:eb,No Free WiFi For You,[WPA2-PSK-CCMP][ESS],2017-11-02 08:42:50,5,-77,32.10309342,35.19875206,640,7,WIFI
